Border,Date,Measure,Value,Average
US-Mexico Border,10/01/2002 12:00:00 AM,Truck Containers Empty,166037,141674
US-Canada Border,10/01/2002 12:00:00 AM,Rail Containers Full,125437,108033
US-Canada Border,10/01/2002 12:00:00 AM,Truck Containers Empty,91485,89019
US-Canada Border,10/01/2002 12:00:00 AM,Pedestrians,91461,50216
US-Canada Border,10/01/2002 12:00:00 AM,Rail Containers Empty,38494,44041
US-Mexico Border,10/01/2002 12:00:00 AM,Rail Containers Empty,28457,30956
US-Mexico Border,10/01/2002 12:00:00 AM,Buses,26476,19280
US-Mexico Border,10/01/2002 12:00:00 AM,Rail Containers Full,24973,27966
US-Canada Border,10/01/2002 12:00:00 AM,Train Passengers,16211,23299
US-Canada Border,10/01/2002 12:00:00 AM,Buses,13869,11705
US-Canada Border,10/01/2002 12:00:00 AM,Trains,2892,2514
US-Mexico Border,10/01/2002 12:00:00 AM,Train Passengers,1256,1040
US-Mexico Border,10/01/2002 12:00:00 AM,Trains,701,725
US-Mexico Border,10/01/2001 12:00:00 AM,Personal Vehicle Passengers,12888484,14068585
US-Mexico Border,10/01/2001 12:00:00 AM,Personal Vehicles,6012965,6518963
US-Canada Border,10/01/2001 12:00:00 AM,Personal Vehicle Passengers,4595981,5730719
US-Mexico Border,10/01/2001 12:00:00 AM,Pedestrians,3985715,3651203
US-Canada Border,10/01/2001 12:00:00 AM,Personal Vehicles,2223417,2712599
US-Canada Border,10/01/2001 12:00:00 AM,Trucks,607236,514266
US-Canada Border,10/01/2001 12:00:00 AM,Truck Containers Full,498355,382599
US-Mexico Border,10/01/2001 12:00:00 AM,Trucks,385399,401076
US-Canada Border,10/01/2001 12:00:00 AM,Bus Passengers,318743,279416
US-Mexico Border,10/01/2001 12:00:00 AM,Bus Passengers,265901,245774
US-Mexico Border,10/01/2001 12:00:00 AM,Truck Containers Full,207446,256145
US-Mexico Border,10/01/2001 12:00:00 AM,Truck Containers Empty,176225,141515
US-Canada Border,10/01/2001 12:00:00 AM,Rail Containers Full,165265,107770
US-Canada Border,10/01/2001 12:00:00 AM,Truck Containers Empty,92545,89003
US-Canada Border,10/01/2001 12:00:00 AM,Pedestrians,72338,50114
US-Canada Border,10/01/2001 12:00:00 AM,Rail Containers Empty,51987,44004
US-Mexico Border,10/01/2001 12:00:00 AM,Rail Containers Empty,29003,30964
US-Mexico Border,10/01/2001 12:00:00 AM,Rail Containers Full,24685,27981
US-Mexico Border,10/01/2001 12:00:00 AM,Buses,23293,19261
US-Canada Border,10/01/2001 12:00:00 AM,Train Passengers,15087,23336
US-Canada Border,10/01/2001 12:00:00 AM,Buses,12497,11701
US-Canada Border,10/01/2001 12:00:00 AM,Trains,2860,2512
US-Mexico Border,10/01/2001 12:00:00 AM,Train Passengers,1617,1037
US-Mexico Border,10/01/2001 12:00:00 AM,Trains,665,725
US-Mexico Border,10/01/2000 12:00:00 AM,Personal Vehicle Passengers,19935645,14041548
US-Mexico Border,10/01/2000 12:00:00 AM,Personal Vehicles,7700555,6513518
US-Canada Border,10/01/2000 12:00:00 AM,Personal Vehicle Passengers,7193370,5723979
US-Mexico Border,10/01/2000 12:00:00 AM,Pedestrians,3674661,3651095
US-Canada Border,10/01/2000 12:00:00 AM,Personal Vehicles,3139788,2710630
US-Canada Border,10/01/2000 12:00:00 AM,Trucks,626833,513747
US-Canada Border,10/01/2000 12:00:00 AM,Truck Containers Full,511645,382004
US-Canada Border,10/01/2000 12:00:00 AM,Bus Passengers,441070,278671
US-Mexico Border,10/01/2000 12:00:00 AM,Trucks,388288,401135
US-Mexico Border,10/01/2000 12:00:00 AM,Bus Passengers,310372,245477
US-Mexico Border,10/01/2000 12:00:00 AM,Truck Containers Full,211084,256353
US-Mexico Border,10/01/2000 12:00:00 AM,Truck Containers Empty,169279,141387
US-Canada Border,10/01/2000 12:00:00 AM,Rail Containers Full,92187,107842
US-Canada Border,10/01/2000 12:00:00 AM,Truck Containers Empty,73182,89076
US-Canada Border,10/01/2000 12:00:00 AM,Pedestrians,47974,50124
US-Canada Border,10/01/2000 12:00:00 AM,Rail Containers Empty,30791,44065
US-Mexico Border,10/01/2000 12:00:00 AM,Rail Containers Empty,24295,30995
US-Mexico Border,10/01/2000 12:00:00 AM,Rail Containers Full,23375,28002
US-Mexico Border,10/01/2000 12:00:00 AM,Buses,22553,19246
US-Canada Border,10/01/2000 12:00:00 AM,Train Passengers,20175,23351
US-Canada Border,10/01/2000 12:00:00 AM,Buses,16227,11680
US-Canada Border,10/01/2000 12:00:00 AM,Trains,2908,2511
US-Mexico Border,10/01/2000 12:00:00 AM,Train Passengers,1627,1034
US-Mexico Border,10/01/2000 12:00:00 AM,Trains,619,725
US-Mexico Border,10/01/1999 12:00:00 AM,Personal Vehicle Passengers,20707014,14010690
US-Mexico Border,10/01/1999 12:00:00 AM,Personal Vehicles,7619439,6508398
US-Canada Border,10/01/1999 12:00:00 AM,Personal Vehicle Passengers,7285038,5716752
US-Mexico Border,10/01/1999 12:00:00 AM,Pedestrians,3700771,3650865
US-Canada Border,10/01/1999 12:00:00 AM,Personal Vehicles,3183898,2708439
US-Canada Border,10/01/1999 12:00:00 AM,Trucks,601920,513339
US-Canada Border,10/01/1999 12:00:00 AM,Truck Containers Full,470230,381596
US-Canada Border,10/01/1999 12:00:00 AM,Bus Passengers,395318,278131
US-Mexico Border,10/01/1999 12:00:00 AM,Trucks,373179,401265
US-Mexico Border,10/01/1999 12:00:00 AM,Bus Passengers,236030,245521
US-Mexico Border,10/01/1999 12:00:00 AM,Truck Containers Full,189505,256662
US-Mexico Border,10/01/1999 12:00:00 AM,Truck Containers Empty,157229,141314
US-Canada Border,10/01/1999 12:00:00 AM,Rail Containers Full,86405,107941
US-Canada Border,10/01/1999 12:00:00 AM,Truck Containers Empty,78609,89124
US-Canada Border,10/01/1999 12:00:00 AM,Pedestrians,44926,50148
US-Mexico Border,10/01/1999 12:00:00 AM,Rail Containers Empty,28065,31009
US-Canada Border,10/01/1999 12:00:00 AM,Rail Containers Empty,26064,44149
US-Mexico Border,10/01/1999 12:00:00 AM,Buses,23529,19226
US-Mexico Border,10/01/1999 12:00:00 AM,Rail Containers Full,19851,28040
US-Canada Border,10/01/1999 12:00:00 AM,Train Passengers,18590,23373
US-Canada Border,10/01/1999 12:00:00 AM,Buses,15398,11663
US-Canada Border,10/01/1999 12:00:00 AM,Trains,2740,2510
US-Mexico Border,10/01/1999 12:00:00 AM,Train Passengers,1781,1031
US-Mexico Border,10/01/1999 12:00:00 AM,Trains,522,726
US-Mexico Border,10/01/1998 12:00:00 AM,Personal Vehicle Passengers,19504313,13985138
US-Mexico Border,10/01/1998 12:00:00 AM,Personal Vehicles,7230008,6505042
US-Canada Border,10/01/1998 12:00:00 AM,Personal Vehicle Passengers,7090153,5710364
US-Mexico Border,10/01/1998 12:00:00 AM,Pedestrians,3580355,3651193
US-Canada Border,10/01/1998 12:00:00 AM,Personal Vehicles,2988293,2707138
US-Canada Border,10/01/1998 12:00:00 AM,Trucks,541898,513206
US-Canada Border,10/01/1998 12:00:00 AM,Truck Containers Full,398597,381517
US-Mexico Border,10/01/1998 12:00:00 AM,Trucks,329285,401599
US-Canada Border,10/01/1998 12:00:00 AM,Bus Passengers,324912,277914
US-Mexico Border,10/01/1998 12:00:00 AM,Bus Passengers,322718,245161
US-Mexico Border,10/01/1998 12:00:00 AM,Truck Containers Full,181774,257010
US-Mexico Border,10/01/1998 12:00:00 AM,Truck Containers Empty,151127,141268
US-Canada Border,10/01/1998 12:00:00 AM,Rail Containers Full,92747,108012
US-Canada Border,10/01/1998 12:00:00 AM,Truck Containers Empty,64386,89239
US-Canada Border,10/01/1998 12:00:00 AM,Pedestrians,42992,50181
US-Canada Border,10/01/1998 12:00:00 AM,Rail Containers Empty,28727,44220
US-Mexico Border,10/01/1998 12:00:00 AM,Buses,22905,19209
US-Mexico Border,10/01/1998 12:00:00 AM,Rail Containers Empty,18635,31066
US-Canada Border,10/01/1998 12:00:00 AM,Train Passengers,17230,23401
US-Mexico Border,10/01/1998 12:00:00 AM,Rail Containers Full,16329,28094
US-Canada Border,10/01/1998 12:00:00 AM,Buses,14379,11650
US-Canada Border,10/01/1998 12:00:00 AM,Trains,2785,2508
US-Mexico Border,10/01/1998 12:00:00 AM,Train Passengers,1380,1029
US-Mexico Border,10/01/1998 12:00:00 AM,Trains,507,727
US-Mexico Border,10/01/1997 12:00:00 AM,Personal Vehicle Passengers,18517433,13963959
US-Canada Border,10/01/1997 12:00:00 AM,Personal Vehicle Passengers,7572362,5701663
US-Mexico Border,10/01/1997 12:00:00 AM,Personal Vehicles,6906264,6503167
US-Mexico Border,10/01/1997 12:00:00 AM,Pedestrians,3524220,3651786
US-Canada Border,10/01/1997 12:00:00 AM,Personal Vehicles,3150381,2705066
US-Canada Border,10/01/1997 12:00:00 AM,Trucks,516240,513192
US-Mexico Border,10/01/1997 12:00:00 AM,Trucks,343053,401873
US-Canada Border,10/01/1997 12:00:00 AM,Bus Passengers,335772,277644
US-Canada Border,10/01/1997 12:00:00 AM,Truck Containers Full,309010,381856
US-Mexico Border,10/01/1997 12:00:00 AM,Bus Passengers,278975,245003
US-Mexico Border,10/01/1997 12:00:00 AM,Truck Containers Full,162419,257452
US-Mexico Border,10/01/1997 12:00:00 AM,Truck Containers Empty,150512,141225
US-Canada Border,10/01/1997 12:00:00 AM,Rail Containers Full,72223,108179
US-Canada Border,10/01/1997 12:00:00 AM,Truck Containers Empty,47501,89434
US-Canada Border,10/01/1997 12:00:00 AM,Pedestrians,27225,50289
US-Mexico Border,10/01/1997 12:00:00 AM,Buses,23365,19190
US-Canada Border,10/01/1997 12:00:00 AM,Rail Containers Empty,22718,44321
US-Canada Border,10/01/1997 12:00:00 AM,Train Passengers,17255,23430
US-Mexico Border,10/01/1997 12:00:00 AM,Rail Containers Full,14700,28157
US-Mexico Border,10/01/1997 12:00:00 AM,Rail Containers Empty,14121,31146
US-Canada Border,10/01/1997 12:00:00 AM,Buses,13527,11641
US-Canada Border,10/01/1997 12:00:00 AM,Trains,2557,2508
US-Mexico Border,10/01/1997 12:00:00 AM,Train Passengers,1143,1029
US-Mexico Border,10/01/1997 12:00:00 AM,Trains,484,729
US-Mexico Border,10/01/1996 12:00:00 AM,Personal Vehicle Passengers,14402994,13961898
US-Canada Border,10/01/1996 12:00:00 AM,Personal Vehicle Passengers,8478286,5688627
US-Mexico Border,10/01/1996 12:00:00 AM,Personal Vehicles,5142694,6509554
US-Canada Border,10/01/1996 12:00:00 AM,Personal Vehicles,3208870,2702701
US-Mexico Border,10/01/1996 12:00:00 AM,Pedestrians,2774875,3655903
US-Canada Border,10/01/1996 12:00:00 AM,Trucks,507303,513220
US-Canada Border,10/01/1996 12:00:00 AM,Bus Passengers,336459,277367
US-Mexico Border,10/01/1996 12:00:00 AM,Trucks,314510,402283
US-Mexico Border,10/01/1996 12:00:00 AM,Bus Passengers,165519,245377
US-Mexico Border,10/01/1996 12:00:00 AM,Truck Containers Full,161146,257905
US-Mexico Border,10/01/1996 12:00:00 AM,Truck Containers Empty,133543,141261
US-Canada Border,10/01/1996 12:00:00 AM,Truck Containers Full,123841,383067
US-Canada Border,10/01/1996 12:00:00 AM,Pedestrians,32463,50372
US-Canada Border,10/01/1996 12:00:00 AM,Truck Containers Empty,27525,89725
US-Canada Border,10/01/1996 12:00:00 AM,Rail Containers Full,26650,108562
US-Canada Border,10/01/1996 12:00:00 AM,Train Passengers,15919,23465
US-Canada Border,10/01/1996 12:00:00 AM,Buses,14787,11627
US-Mexico Border,10/01/1996 12:00:00 AM,Rail Containers Empty,10853,31241
US-Mexico Border,10/01/1996 12:00:00 AM,Rail Containers Full,10606,28239
US-Canada Border,10/01/1996 12:00:00 AM,Rail Containers Empty,10174,44481
US-Mexico Border,10/01/1996 12:00:00 AM,Buses,10133,19232
US-Canada Border,10/01/1996 12:00:00 AM,Trains,2820,2507
US-Mexico Border,10/01/1996 12:00:00 AM,Train Passengers,1164,1028
US-Mexico Border,10/01/1996 12:00:00 AM,Trains,609,729
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,11822961,13971987
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicles,6319271,6510452
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,4376264,5694818
US-Mexico Border,09/01/2018 12:00:00 AM,Pedestrians,3524531,3656522
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicles,2339723,2704413
US-Mexico Border,09/01/2018 12:00:00 AM,Trucks,494057,401850
US-Canada Border,09/01/2018 12:00:00 AM,Trucks,477492,513388
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Full,361864,257414
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Full,360290,383174
US-Canada Border,09/01/2018 12:00:00 AM,Bus Passengers,179957,277827
US-Mexico Border,09/01/2018 12:00:00 AM,Bus Passengers,160813,245776
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Full,154683,108345
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Empty,141079,141262
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Empty,126940,89550
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Empty,63582,44391
US-Canada Border,09/01/2018 12:00:00 AM,Pedestrians,54019,50355
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Empty,50037,31152
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Full,43621,28166
US-Canada Border,09/01/2018 12:00:00 AM,Train Passengers,29355,23438
US-Mexico Border,09/01/2018 12:00:00 AM,Buses,13468,19260
US-Canada Border,09/01/2018 12:00:00 AM,Buses,7896,11644
US-Canada Border,09/01/2018 12:00:00 AM,Trains,1970,2509
US-Mexico Border,09/01/2018 12:00:00 AM,Trains,933,728
US-Mexico Border,09/01/2018 12:00:00 AM,Train Passengers,874,1029
US-Mexico Border,09/01/2017 12:00:00 AM,Personal Vehicle Passengers,11518284,13983616
US-Mexico Border,09/01/2017 12:00:00 AM,Personal Vehicles,6233052,6511766
US-Canada Border,09/01/2017 12:00:00 AM,Personal Vehicle Passengers,4569811,5700149
US-Mexico Border,09/01/2017 12:00:00 AM,Pedestrians,3276482,3658324
US-Canada Border,09/01/2017 12:00:00 AM,Personal Vehicles,2425684,2705734
US-Mexico Border,09/01/2017 12:00:00 AM,Trucks,493093,401418
US-Canada Border,09/01/2017 12:00:00 AM,Trucks,478231,513555
US-Canada Border,09/01/2017 12:00:00 AM,Truck Containers Full,355731,383305
US-Mexico Border,09/01/2017 12:00:00 AM,Truck Containers Full,337455,257035
US-Canada Border,09/01/2017 12:00:00 AM,Bus Passengers,195397,278218
US-Mexico Border,09/01/2017 12:00:00 AM,Truck Containers Empty,153489,141204
US-Canada Border,09/01/2017 12:00:00 AM,Rail Containers Full,141462,108188
US-Canada Border,09/01/2017 12:00:00 AM,Truck Containers Empty,132864,89344
US-Mexico Border,09/01/2017 12:00:00 AM,Bus Passengers,115717,246392
US-Canada Border,09/01/2017 12:00:00 AM,Rail Containers Empty,65431,44291
US-Canada Border,09/01/2017 12:00:00 AM,Pedestrians,49540,50359
US-Mexico Border,09/01/2017 12:00:00 AM,Rail Containers Empty,45642,31083
US-Mexico Border,09/01/2017 12:00:00 AM,Rail Containers Full,39622,28112
US-Canada Border,09/01/2017 12:00:00 AM,Train Passengers,29330,23410
US-Mexico Border,09/01/2017 12:00:00 AM,Buses,13285,19288
US-Canada Border,09/01/2017 12:00:00 AM,Buses,8634,11659
US-Canada Border,09/01/2017 12:00:00 AM,Trains,1904,2512
US-Mexico Border,09/01/2017 12:00:00 AM,Trains,912,727
US-Mexico Border,09/01/2017 12:00:00 AM,Train Passengers,885,1029
US-Mexico Border,09/01/2016 12:00:00 AM,Personal Vehicle Passengers,11100972,13997343
US-Mexico Border,09/01/2016 12:00:00 AM,Personal Vehicles,6118348,6513640
US-Canada Border,09/01/2016 12:00:00 AM,Personal Vehicle Passengers,4511235,5705811
US-Mexico Border,09/01/2016 12:00:00 AM,Pedestrians,3511631,3659022
US-Canada Border,09/01/2016 12:00:00 AM,Personal Vehicles,2504409,2706693
US-Canada Border,09/01/2016 12:00:00 AM,Trucks,497132,513633
US-Mexico Border,09/01/2016 12:00:00 AM,Trucks,481245,401038
US-Canada Border,09/01/2016 12:00:00 AM,Truck Containers Full,404577,383203
US-Mexico Border,09/01/2016 12:00:00 AM,Truck Containers Full,332088,256677
US-Canada Border,09/01/2016 12:00:00 AM,Bus Passengers,201342,278584
US-Mexico Border,09/01/2016 12:00:00 AM,Truck Containers Empty,144033,141191
US-Mexico Border,09/01/2016 12:00:00 AM,Bus Passengers,136792,246914
US-Canada Border,09/01/2016 12:00:00 AM,Rail Containers Full,127837,108094
US-Canada Border,09/01/2016 12:00:00 AM,Truck Containers Empty,97301,89306
US-Canada Border,09/01/2016 12:00:00 AM,Rail Containers Empty,52410,44253
US-Canada Border,09/01/2016 12:00:00 AM,Pedestrians,50712,50357
US-Mexico Border,09/01/2016 12:00:00 AM,Rail Containers Full,44234,28035
US-Mexico Border,09/01/2016 12:00:00 AM,Rail Containers Empty,43450,31025
US-Canada Border,09/01/2016 12:00:00 AM,Train Passengers,29351,23381
US-Mexico Border,09/01/2016 12:00:00 AM,Buses,12185,19322
US-Canada Border,09/01/2016 12:00:00 AM,Buses,8220,11675
US-Canada Border,09/01/2016 12:00:00 AM,Trains,2486,2512
US-Mexico Border,09/01/2016 12:00:00 AM,Train Passengers,1587,1027
US-Mexico Border,09/01/2016 12:00:00 AM,Trains,889,727
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,10860037,14012354
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicles,6035984,6515925
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,4363739,5712232
US-Mexico Border,09/01/2015 12:00:00 AM,Pedestrians,3139366,3661509
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicles,2494332,2707709
US-Canada Border,09/01/2015 12:00:00 AM,Trucks,500069,513698
US-Mexico Border,09/01/2015 12:00:00 AM,Trucks,455664,400776
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Full,410672,383072
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Full,321472,256367
US-Canada Border,09/01/2015 12:00:00 AM,Bus Passengers,218772,278870
US-Mexico Border,09/01/2015 12:00:00 AM,Bus Passengers,173903,247263
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Empty,134511,141222
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Full,130992,107984
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Empty,105094,89231
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Empty,56083,44196
US-Canada Border,09/01/2015 12:00:00 AM,Pedestrians,45922,50379
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Full,40426,27976
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Empty,36013,31001
US-Canada Border,09/01/2015 12:00:00 AM,Train Passengers,32000,23340
US-Mexico Border,09/01/2015 12:00:00 AM,Buses,15435,19340
US-Canada Border,09/01/2015 12:00:00 AM,Buses,9425,11686
US-Canada Border,09/01/2015 12:00:00 AM,Trains,2554,2512
US-Mexico Border,09/01/2015 12:00:00 AM,Train Passengers,1058,1027
US-Mexico Border,09/01/2015 12:00:00 AM,Trains,829,726
US-Mexico Border,09/01/2014 12:00:00 AM,Personal Vehicle Passengers,10249686,14030444
US-Mexico Border,09/01/2014 12:00:00 AM,Personal Vehicles,5677215,6519958
US-Canada Border,09/01/2014 12:00:00 AM,Personal Vehicle Passengers,4888273,5716194
US-Mexico Border,09/01/2014 12:00:00 AM,Pedestrians,3103375,3664192
US-Canada Border,09/01/2014 12:00:00 AM,Personal Vehicles,2762674,2707445
US-Canada Border,09/01/2014 12:00:00 AM,Trucks,509506,513718
US-Mexico Border,09/01/2014 12:00:00 AM,Trucks,440589,400585
US-Canada Border,09/01/2014 12:00:00 AM,Truck Containers Full,378454,383094
US-Mexico Border,09/01/2014 12:00:00 AM,Truck Containers Full,304518,256136
US-Canada Border,09/01/2014 12:00:00 AM,Bus Passengers,220253,279152
US-Mexico Border,09/01/2014 12:00:00 AM,Bus Passengers,191799,247530
US-Canada Border,09/01/2014 12:00:00 AM,Rail Containers Full,132802,107865
US-Mexico Border,09/01/2014 12:00:00 AM,Truck Containers Empty,132093,141266
US-Canada Border,09/01/2014 12:00:00 AM,Truck Containers Empty,121183,89077
US-Canada Border,09/01/2014 12:00:00 AM,Rail Containers Empty,66650,44088
US-Canada Border,09/01/2014 12:00:00 AM,Pedestrians,43787,50410
US-Mexico Border,09/01/2014 12:00:00 AM,Rail Containers Full,39829,27919
US-Mexico Border,09/01/2014 12:00:00 AM,Rail Containers Empty,35826,30978
US-Canada Border,09/01/2014 12:00:00 AM,Train Passengers,31724,23300
US-Mexico Border,09/01/2014 12:00:00 AM,Buses,17873,19347
US-Canada Border,09/01/2014 12:00:00 AM,Buses,10166,11693
US-Canada Border,09/01/2014 12:00:00 AM,Trains,2395,2513
US-Mexico Border,09/01/2014 12:00:00 AM,Trains,822,726
US-Mexico Border,09/01/2014 12:00:00 AM,Train Passengers,735,1028
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,9778521,14050984
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicles,5389491,6525419
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,5109950,5719122
US-Mexico Border,09/01/2013 12:00:00 AM,Pedestrians,3196087,3666453
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicles,2841765,2706796
US-Canada Border,09/01/2013 12:00:00 AM,Trucks,477120,513895
US-Mexico Border,09/01/2013 12:00:00 AM,Trucks,405484,400561
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Full,352489,383242
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Full,273471,256052
US-Canada Border,09/01/2013 12:00:00 AM,Bus Passengers,230454,279387
US-Mexico Border,09/01/2013 12:00:00 AM,Bus Passengers,177670,247867
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Full,128150,107767
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Empty,127800,141331
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Empty,121839,88919
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Empty,63775,43993
US-Canada Border,09/01/2013 12:00:00 AM,Pedestrians,43243,50445
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Full,38311,27869
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Empty,32453,30970
US-Canada Border,09/01/2013 12:00:00 AM,Train Passengers,29884,23268
US-Mexico Border,09/01/2013 12:00:00 AM,Buses,16168,19363
US-Canada Border,09/01/2013 12:00:00 AM,Buses,10574,11698
US-Canada Border,09/01/2013 12:00:00 AM,Trains,2461,2513
US-Mexico Border,09/01/2013 12:00:00 AM,Trains,793,725
US-Mexico Border,09/01/2013 12:00:00 AM,Train Passengers,294,1031
US-Mexico Border,09/01/2012 12:00:00 AM,Personal Vehicle Passengers,9270098,14074192
US-Canada Border,09/01/2012 12:00:00 AM,Personal Vehicle Passengers,5310244,5721107
US-Mexico Border,09/01/2012 12:00:00 AM,Personal Vehicles,5132479,6532181
US-Mexico Border,09/01/2012 12:00:00 AM,Pedestrians,3127024,3669072
US-Canada Border,09/01/2012 12:00:00 AM,Personal Vehicles,2903426,2705841
US-Canada Border,09/01/2012 12:00:00 AM,Trucks,457817,514167
US-Mexico Border,09/01/2012 12:00:00 AM,Trucks,392223,400602
US-Canada Border,09/01/2012 12:00:00 AM,Truck Containers Full,338751,383458
US-Mexico Border,09/01/2012 12:00:00 AM,Truck Containers Full,258742,256039
US-Canada Border,09/01/2012 12:00:00 AM,Bus Passengers,242833,279564
US-Mexico Border,09/01/2012 12:00:00 AM,Bus Passengers,194726,248125
US-Mexico Border,09/01/2012 12:00:00 AM,Truck Containers Empty,130496,141384
US-Canada Border,09/01/2012 12:00:00 AM,Rail Containers Full,119051,107712
US-Canada Border,09/01/2012 12:00:00 AM,Truck Containers Empty,98020,88875
US-Canada Border,09/01/2012 12:00:00 AM,Rail Containers Empty,59980,43915
US-Canada Border,09/01/2012 12:00:00 AM,Pedestrians,43962,50476
US-Mexico Border,09/01/2012 12:00:00 AM,Rail Containers Full,34167,27838
US-Mexico Border,09/01/2012 12:00:00 AM,Rail Containers Empty,32770,30962
US-Canada Border,09/01/2012 12:00:00 AM,Train Passengers,26716,23251
US-Mexico Border,09/01/2012 12:00:00 AM,Buses,16744,19375
US-Canada Border,09/01/2012 12:00:00 AM,Buses,10700,11703
US-Canada Border,09/01/2012 12:00:00 AM,Trains,2350,2514
US-Mexico Border,09/01/2012 12:00:00 AM,Trains,733,725
US-Mexico Border,09/01/2012 12:00:00 AM,Train Passengers,219,1035
US-Mexico Border,09/01/2011 12:00:00 AM,Personal Vehicle Passengers,8707267,14100373
US-Canada Border,09/01/2011 12:00:00 AM,Personal Vehicle Passengers,5200159,5723648
US-Mexico Border,09/01/2011 12:00:00 AM,Personal Vehicles,4941668,6539939
US-Mexico Border,09/01/2011 12:00:00 AM,Pedestrians,3084806,3671922
US-Canada Border,09/01/2011 12:00:00 AM,Personal Vehicles,2836400,2705204
US-Canada Border,09/01/2011 12:00:00 AM,Trucks,467016,514397
US-Mexico Border,09/01/2011 12:00:00 AM,Trucks,399902,400605
US-Canada Border,09/01/2011 12:00:00 AM,Truck Containers Full,345284,383644
US-Mexico Border,09/01/2011 12:00:00 AM,Truck Containers Full,268207,255980
US-Canada Border,09/01/2011 12:00:00 AM,Bus Passengers,243856,279738
US-Mexico Border,09/01/2011 12:00:00 AM,Bus Passengers,185835,248429
US-Mexico Border,09/01/2011 12:00:00 AM,Truck Containers Empty,131108,141434
US-Canada Border,09/01/2011 12:00:00 AM,Rail Containers Full,111616,107693
US-Canada Border,09/01/2011 12:00:00 AM,Truck Containers Empty,99849,88821
US-Canada Border,09/01/2011 12:00:00 AM,Rail Containers Empty,56359,43855
US-Canada Border,09/01/2011 12:00:00 AM,Pedestrians,47679,50490
US-Mexico Border,09/01/2011 12:00:00 AM,Rail Containers Empty,35428,30940
US-Mexico Border,09/01/2011 12:00:00 AM,Rail Containers Full,30245,27827
US-Canada Border,09/01/2011 12:00:00 AM,Train Passengers,27171,23232
US-Mexico Border,09/01/2011 12:00:00 AM,Buses,15546,19394
US-Canada Border,09/01/2011 12:00:00 AM,Buses,11077,11706
US-Canada Border,09/01/2011 12:00:00 AM,Trains,2286,2515
US-Mexico Border,09/01/2011 12:00:00 AM,Trains,731,725
US-Mexico Border,09/01/2011 12:00:00 AM,Train Passengers,304,1039
US-Mexico Border,09/01/2010 12:00:00 AM,Personal Vehicle Passengers,9725659,14121817
US-Canada Border,09/01/2010 12:00:00 AM,Personal Vehicle Passengers,5065766,5726873
US-Mexico Border,09/01/2010 12:00:00 AM,Personal Vehicles,5065256,6547168
US-Mexico Border,09/01/2010 12:00:00 AM,Pedestrians,3007144,3675181
US-Canada Border,09/01/2010 12:00:00 AM,Personal Vehicles,2584252,2705797
US-Canada Border,09/01/2010 12:00:00 AM,Trucks,468864,514621
US-Mexico Border,09/01/2010 12:00:00 AM,Trucks,386817,400673
US-Canada Border,09/01/2010 12:00:00 AM,Truck Containers Full,359307,383763
US-Mexico Border,09/01/2010 12:00:00 AM,Truck Containers Full,256537,255977
US-Canada Border,09/01/2010 12:00:00 AM,Bus Passengers,239495,279936
US-Mexico Border,09/01/2010 12:00:00 AM,Bus Passengers,195096,248691
